Nom;Quantités;Nb personnes;Heures;Zone;Sous-Zone;Tranche;Lot;Entreprise;Qualité;Niveau;Onduleur;PTR
ZONE 1 (MECA);;;;;;;;;;;;
Zone 1.1;;;;;;;;;;;;
Implantation;2410;;;1;1.1;1;MECA;TERELIAN;CQ;;;
Forages;2410;;;1;1.1;1;MECA;TERELIAN;CQ;;;
Pieux;2410;;;1;1.1;1;MECA;SUNGINEER;CQ;;;
Arbaletriers;1205;;;1;1.1;1;MECA;SUNGINEER;CQ;;;
Pannes;1205;;;1;1.1;1;MECA;SUNGINEER;CQ;;;
Structures;106;;;1;1.1;1;MECA;SUNGINEER;CQ;;;
Modules;6912;;;1;1.1;1;MECA;SUNGINEER;CQ;;;
Zone 1.2;;;;;;;;;;;;
Implantation;1032;;;1;1.2;1;MECA;TERELIAN;CQ;;;
Forages;1032;;;1;1.2;1;MECA;TERELIAN;CQ;;;
Pieux;1032;;;1;1.2;1;MECA;SUNGINEER;CQ;;;
Arbaletriers;516;;;1;1.2;1;MECA;SUNGINEER;CQ;;;
Pannes;258;;;1;1.2;1;MECA;SUNGINEER;CQ;;;
Structures;51;;;1;1.2;1;MECA;SUNGINEER;CQ;;;
Modules;2943;;;1;1.2;1;MECA;SUNGINEER;CQ;;;
;;;;;;;;;;;;
1 ELEC – ZONE 1;;;;;;;;;;;;
;;;;;;;;;;;;
1.1 Tranchées BT type 1 (0,5);142;;;1;1.1;1;ELEC;ENGELVIN;CQ;;;
1.1 Tranchées BT type 2 (0,7);928;;;1;1.1;1;ELEC;ENGELVIN;CQ;;;
Fourniture de câble solaire 1x6mm² - rallonge 3V9;220;3;1,170287544;1;;1;ELEC;OMX;;;;
1.1 Fourniture de câble solaire 1x6mm²;;;;;;;;;;;;
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND01;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND02;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND03;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND04;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND05;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND06;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND07;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND08;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND09;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND10;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND11;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND12;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND13;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND14;PTR1.1-1
Fourniture de câble solaire 1x6mm²;937,0748252;3;4,984759071;1;1.1;1;ELEC;OMX;CQ;OND;OND15;PTR1.1-1
1.1 Fourniture de câble solaire 1x10mm²;;;;;;;;;;;;
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND01;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND02;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND03;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND04;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND05;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND06;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND07;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND08;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND09;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND10;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND11;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND12;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND13;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND14;PTR1.1-1
Fourniture de câble solaire 1x10mm²;1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND15;PTR1.1-1
1.1 Travaux de finitions de cablage (cheminements des câbles…);;;;;;;;;;;;
Travaux de finitions de cablage (cheminements des câbles…);1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND01;PTR1.1-1
Travaux de finitions de cablage (cheminements des câbles…);1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND02;PTR1.1-1
Travaux de finitions de cablage (cheminements des câbles…);1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND03;PTR1.1-1
Travaux de finitions de cablage (cheminements des câbles…);1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND04;PTR1.1-1
Travaux de finitions de cablage (cheminements des câbles…);1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND05;PTR1.1-1
Travaux de finitions de cablage (cheminements des câbles…);1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND06;PTR1.1-1
Travaux de finitions de cablage (cheminements des câbles…);1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND07;PTR1.1-1
Travaux de finitions de cablage (cheminements des câbles…);1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND08;PTR1.1-1
Travaux de finitions de cablage (cheminements des câbles…);1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND09;PTR1.1-1
Travaux de finitions de cablage (cheminements des câbles…);1968,521254;3;10,47152683;1;1.1;1;ELEC;OMX;CQ;OND;OND10;PTR1.1-1
